,bookId,gsiId,gsiName,cuNames
12,4925748752,3795724242,NSL Policy Quote Management,"['search reserved cu', 'Rejected Path', 'Non acceptance CU', 'Best Online Way To Know Your Premium', 'Manual UW Path', 'MacMM1', 'Health_Insurance_Inputs', 'Insurance Assist', 'New user Access Mode', 'Display payment path', 'Here is your premium', 'Customer ID generation', 'User Access Path', 'Get instamojo payment details Reserved CU', 'Recommendations for you', 'Purchase summary', 'Policy purchase', 'NSL Template Report', 'Welcome to Brane Insurance', 'Existing Customer Access Mode', 'View Customer Details', 'Enrollment Initiation', 'GST value capture', 'Explore Products', 'View Customer ID', 'GST Application', 'Policy Issuance Initiation', 'Automated Processing Path', 'Insurance_Analytics_Response_New', 'View ePolicy issuance document']"
13,-1430105756,-1525009156,customerportal,"['Customer Menu Options', 'Customer Accessing Portal']"
14,-2048967558,-43471232,FPO Order to Delivery 1208,['Enter the Customer Details']
15,-1731124370,-771928544,Health Insurance Buy Quote Policy,"['Policy Doc Generation CU', 'Submit Enrollment', 'Coverage Selection', 'Policy Doc Issuance', 'view Premium Summary', 'New Enrollment', 'card Payment', 'Policy Doc Hyperlink Generation', 'proposer Info', 'netbanking Payment', 'nominee Submission', 'payment Confirmation', 'Reconfirm the details for product recommendations', 'policy Purchase', 'Supporting pdf CU']"
16,4617660863,6406744170,Audit director approval,"['HTMLDPPPDIRECTOR', 'HTMLAUDITEE osfd', 'Final Approval of Public Procurement Procedure Checklist', 'HTMLOSFAUDITOR', 'HTMLCONNECTOR CUOSFA', 'OS Approval Scenario', 'HTMLAPPPAUDITOR', 'HTMLAUDITOR osfd', 'Search OS database', 'Send Email Reserved CU', 'OS Disapproval Scenario', 'HTMLAPPPDIRECTOR', 'Search PPP Issue and CAPA database', 'search spoc details', 'Search PPP Resolve Database', 'Final Approval of Organizational Security Checklist', 'search audit plan 900 0706', 'Enter Approve ID', 'Search Approval Public Procurement Procedure', 'Select Checklist for Approval', 'PPP Disapprove Scenario', 'PPP Approve Scenario', 'HTMLAUDITDIRECTOR osfd', 'Search Approval Organizational Security Database', 'HTMLOSFAUDITEE', 'HTMLDPPPAUDITOR']"
17,1981736914,1676717573,Logic Linear Regression,['Premium Payment Calculator']
18,1981736914,1183314016,Customer Policy Data Amendment Database,['Customer Existing Details']
19,-2086293921,3558904240,The Card Store,['Login ']
20,4617660863,1178971602544,AUDIT WEBEX MEETING,"['Audit director', 'ID 3', 'Dummyno', 'MailtoAD01', 'Auditee SPOC', 'Choose type of Audit head', 'Send Email Reserved CU', 'Webex ADO', 'NSL HTML Template', 'HTML Trigger 2', 'Capture Minute 03', 'Auditee head option', 'create reserved cu', 'Loading webex Reserved CU', 'HTML_1', 'search reserved cu', 'Webex AD', 'Webex AS']"
21,3295498119,2479831754,German Dictionary,['German Words']
22,1158706724445,832221781280,NSL Insurance Quote Management,"['Health Risk Assess', 'User Access', 'Decimal Output', 'Mac Connector CU', 'Calculator CU', 'Manual Underwriter Path', 'VID Generator CU', 'Final Risk Output CU', 'Request Reject Path', 'Decimal Input', 'search reserved cu', 'Mac ID Connector CU', 'Automatic Path CU', 'Risk Assessment Mandate', 'Welcome Page', 'NSL Decimal Number Functions', 'Parameter Avg Weights']"
23,4925748752,4753674248,NSL Policy Quote Management,"['Welcome to Brane Insurance', 'Insurance_Analytics_Response_New', 'Automated Processing Path', 'search reserved cu', 'Health_Insurance_Inputs', 'Insurance Assist', 'View Customer Details', 'Existing Customer Access Mode', 'New user Access Mode', 'MacMM2', 'User Access Path', 'Enrollment Initiation', 'Premium Based On Your Profile', 'MacMM1', 'Non acceptance CU', 'Rejected Path', 'Best Online Way To Know Your Premium', 'Manual UW Path']"
24,1981736914,1331329418,customer_rewrite,"['Rewrite Intiation_2', 'NSL_smsReservedCu', 'CCE receives request from customer_2', 'Send whatsapp message Reserved CU', 'Customer Makes Payment_2', 'CCE Sends Payment Detail To Customer_2', 'NSL_emailReservedCu', 'Sms Confirmation After Payment_2', 'Debit Card Payments_2']"
25,1265660548,53210586,Register Challan and Invoice Details,"['Select PO Status', 'Capture Invoice Details', 'Enter PO Number', 'Invoice Master Details', 'Capture Challan Details', 'Search for Vendor Details']"
26,1981736914,-209287044,Customer Insurance Policy Cancellation,"['CCE Assistance', 'Self Submit', 'Login Page', 'Cancellation Mode', 'request Confirmation', 'Customer User Details']"
27,4872940652,4273200938,Update My Property Status,"['MCUEmailPropertyDetailsUpdate', 'Enter your Property Details', 'Send Email Reserved CU', 'MCUSearchProperty', 'Update Your Property Details']"
28,-644060957,-682182438,Policy_Reinstatement,"['Send whatsapp message Reserved CU', 'NSL_smsReservedCu', 'Transaction for reinstatement', 'Sending email about lapsed policy', 'NSL_emailReservedCu', 'Reinstatement_DB']"
29,-610070037,-1827468114,New Plan Details 101120,['New PLAN 101120']
30,676564759710,764203713098,New Carrier Master,"['Search Vendor Name', 'Send sms Reserved CU', 'Send Email Reserved CU', 'Add More Carrier', 'Carrier Registration SMS Notification Input', 'Recording New Carrier Details', 'search reserved cu', 'Search Vendor Id', 'SearchVendor', 'Carrier Registration Email Notification Input', 'Proceed Search With VendorId', 'View Vendor Master']"
31,-2011960269,1422984512,Audit Director Approval 111120,['Approval by Audit Dir 101120']
32,1665536798962,96383538444,New Carrier Master,"['Send sms Reserved CU', 'Send Email Reserved CU', 'Add More Carrier', 'Search Vendor Name', 'Carrier Registration SMS Notification Input', 'Recording New Carrier Details', 'search reserved cu', 'Search Vendor Id', 'SearchVendor', 'Carrier Registration Email Notification Input', 'Proceed Search With VendorId', 'View Vendor Master']"
33,-235533008,1195547613,Solution for Share allotment,"['Allot shares', 'Search Share Application']"
34,4836697387,6149814243,HTML_email_practice_ak,"['HTML_generating_practice_ak', 'Send Email Reserved CU', 'HTML_email_details_practice_ak']"
35,1981736914,1846062043,Insurance Region Database,['RDB CU']
36,-644060957,-149980260,Customerchoosesmenu,['Customer Menu Options']
37,1183218792,-2067198790,Automated email generation FE504,"['Get Donor Details FE504', 'Skip and Donate', 'Show Payment FE504', 'Payment confirmation FE504', 'Get instamojo payment details Reserved CU']"
38,1704923815,5015050041,Explore Instamojo GSI,"['Get instamojo payment details Reserved CU', 'Transaction Details', 'Payment Url1', 'Payer details']"
39,4617660863,5365274542,Audit initiation of assigning checklist,"['search audit plan 900 0706', 'Assign Checklists']"
40,-2086293921,4999841870,My Atlas,"['Welcome to Astronomy', 'Know About the Planet', 'Know about Planet', 'Select The Planet You want to Learn ', 'Choose the Stars you want to know about', 'Select What You want to learn', 'Student Database', 'Login ']"
41,1183218792,1878501410,Automated email generation FE504,"['Show Payment FE504', 'Get instamojo payment details Reserved CU', 'Get Donor Details FE504', 'Payment confirmation FE504']"
42,-1560122000,-1829355124,CustomerPolicyCancellation,"['customerlibrary2', 'Cancelinitiation1', 'CCEsupportforcancellation', 'NSL_emailReservedCu', 'mac_act', 'Cancellationsubmission', 'CSRsupport', 'Requestonhold']"
43,4836697387,2736612602,InPotentiality_InReality_practice_ak,"['view_searched_ak', 'res_create_practice_ak', 'res_search_practice_ak']"
44,570940159782,1476182930827,logicgsi1_onfocus_0710,"['onfocus_cu1_0710', 'onfocus_cu2_0710']"
45,3684685582,895771427612,Female Health Tracker,"['Create User Profile', 'search reserved cu', 'Send Reg Mail', 'Your Notes', 'Existing_User Login', 'Write a note', 'View your Notes', 'User Home Page Female Health Tracker', 'View User Profile', 'FHT3', 'Female Health Tracker Home Page', 'Send Email Reserved CU', 'YN1', 'FHT1']"
46,3214618513,2977952493,Community Development V1,"['Help', 'ChooseYourAction', 'Learn', 'DonateFood', 'WelcomePage', 'SearchNGO', 'ChoosenNGO', 'FoodDetails', 'DisplayNGO', 'SearchName', 'Send Email Reserved CU', 'Raise Help']"
47,1704923815,2117023661,Health Insurance Policy Activities GSI,"['First Aggregation Output', 'Policy Activities DB', 'Agent Search', 'First Aggregation', 'IDgeneratorfor policy']"
48,1265660548,-360588907,Dispatching Material Internal_,"['Generates Challan Sales Order ID', 'Enter Sales Order Delivery Challan Details']"
49,5016701164,5341818053,Tech News,"['Tech News Home Page', 'UTN1', 'Write a Note Daily News', 'User Home Page Tech News', 'Search News By Date', 'View Daily News', 'ATN1', 'Daily Tech News', 'Update Tech Daily News', 'TN1', 'Admin Home Page Tech News', 'Search News to Update']"
50,4617660863,1318351379653,Resolve and Issue and CAPA,"['Connector HTML CU', 'Send Email Reserved CU', 'HTML REICENT', 'Resolve database IC', 'search spoc details', 'Search Public Procurement Checklist', 'search audit plan 900 0706', 'Resolve IC for public procurement procedure', 'HTML RAICENT', 'ID for resolve issue and capa']"
51,-1430105756,-1992628424,Customer_policy reinstatement,"['Send whatsapp message Reserved CU', 'NSL_smsReservedCu', 'Payment by debit card_', 'NSL_emailReservedCu', 'Payment by credit card_']"
52,-644060957,-90860765,customerportal_view,"['Customer Buys Quote', 'ProvidingServicesToCustomer', 'CustomerHelpDesk_', 'Customer Pays Premium', 'NSL_smsReservedCu', 'Auto Pay Registration', 'Select payment Method', 'CustomerProfile_', 'Intiatecallback_', 'Booking confirmation through sms', 'Customer Menu Options', 'Customer Accessing Portal']"
53,3579802387,4388606802,User Log in ,['User Login ET']
54,4617660863,4792963756,Approve Organizational Security,"['Approve organizational security', 'Search OS Database', 'HTML AOS CU', 'search audit plan 900 0706', 'Approve OS ID', 'HTML AUDIT DIRECTOR AOS', 'HTML AUDITOR AOS', 'Approve OS DATABASE', 'Send Email Reserved CU']"
55,1981736914,-117911857,Customer Cancellation Database,['Customer Cancellation Info']
56,-1731124370,5316236842,Customer Portal G_Dashboard,['G_Dashboard CU']
57,903612356092,284289873201,Get code details1609,"['Get data1609', 'NSL_Read_QR_BarCode', 'upload the code']"
58,-2011960269,-169443992,New Plan Creation 181120,['New PLAN 101120']
59,4617660863,1271880499898,Audit Director Approval for Report,"['search reserved cu', 'Capture Report ID', 'Approve Draft Report']"
60,5387065718,5622852538,DoctorPet,"['Display consultant details', 'Register Student', 'Showurl', 'Send Email Reserved CU', 'Login ', 'Card Payment ', 'Consultation ', 'Online payment', 'Selfhelpvideos', 'Displaydoc', 'Search Docid', 'BookingConfirmation', 'Paynow', 'SendConfirmation', 'Get instamojo payment details Reserved CU', 'Selfhelp', 'YourPetDetails', 'Confirmpayment', 'AppointmentDetails', 'Welcome user', 'Consultationdetails', 'Search pincode ', 'Getpaymentdetails']"
61,3182492403,2888000704,Covid Relief App,"['Create User Profile', 'View User Profile', 'Covid Relief Home Page', 'Information Related to Vaccination', 'Send Email Reserved CU', 'Send Volunteer Registration Mail', 'CV1']"
62,-2090381386,2282161052,NewCustomerMaster,"['EnterBillingDetails', 'EnterShippingDetails', 'generateCustomerID', 'New Customer Details', 'RecordCustomerDetails']"
63,1869112909622,89373862606,client database 922,"['view doctor list 922', 'search reserved cu', 'clients registration 922']"
64,1183218792,93249825,Automated email generation FE504,"['Show payment url v1', 'Get Donor Details FE504', 'Get instamojo payment details Reserved CU']"
65,4836697387,2283239014,Dependent_dropdown_practice_ak,['Dependent_dropdown_CU_practice_ak']
66,1704923815,2891083433,Health Insurance Quote Management Process,"['Health ID card generator', 'BMI Evaluation', 'Purchase channel info', 'Nominee submission', 'GST CU2', 'Coverage Selection', 'Purchase summary', 'Policy purchase', 'New user access', 'Check your BMI', 'Pend enrollment', 'NSL_AadharCardReservedCU', 'NSL DateTime Functions', 'NSL_PancardReservedCU', 'Macbmi1', 'Reconfirm the details for product recommendations', 'Your eKYC', 'Macbmi2', 'Generation of policy document', 'Policy doc initiation', 'Customer age confirmation', 'GST CU1', 'KYC submission and verification', 'Submit enrollment', 'Mac age calculation', 'Display payment path', 'Your health ID card', 'Get instamojo payment details Reserved CU', 'GST CU3', 'Health card details']"
67,-644060957,1779403912,CUstomerREinstatement,"['Payment by debit card_', 'NSL_smsReservedCu', 'NSL_emailReservedCu', 'Payment by credit card_']"
68,-644060957,1351162372,customerportal_view,"['Customer Buys Quote', 'ProvidingServicesToCustomer', 'CustomerHelpDesk_', 'Customer Pays Premium', 'NSL_smsReservedCu', 'Auto Pay Registration', 'Select payment Method', 'CustomerProfile_', 'Intiatecallback_', 'Booking confirmation through sms', 'Customer Menu Options', 'Customer Accessing Portal']"
69,4617660863,5579885266,Audit Director Approval for Checklists,"['OS Alternate path', 'Enter Approve ID', 'PPP Alternate path', 'Select Checklist for Approval']"
70,2813090658,2375971147,samplesolution,['basicCU101']
71,4617660863,66832382890,Resolve and Issue and CAPA,"['ID for resolve issue and capa', 'Resolve database IC', 'search audit plan 900 0706', 'Resolve IC for public procurement procedure', 'HTML RAICENT', 'search spoc details', 'Search Public Procurement Checklist', 'Connector HTML CU', 'Send Email Reserved CU', 'HTML REICENT']"
72,1981736914,-1369287680,Customer Health Insurance Policy Cancellation,"['CCE Assistance', 'Self Submit', 'Login Page', 'Cancellation Mode', 'request Confirmation', 'Customer User Details']"
73,-2086293921,4530809992,Librarymanagement,"['Add Books', 'UpdatingBorrowRequest', 'Book Search', 'RaiseBorrowRequest', 'SelectionType', 'SearchForaBook', 'Send Email Reserved CU', 'ViewDetailsOfBook', 'TypeSelection', 'SendBookRequestNotification', 'Student Login', 'AddStudent', 'RaisingBookRequest', 'UpdateStatusofBorrowRequest', 'SendStatusNotificationtoStudent']"
74,570940159782,2055518071823,logicgsi2onfocus_0610,"['cu3_0610', 'cu4_0610']"
75,1981736914,-1521270577,CUstomerREinstatement,"['NSL_smsReservedCu', 'Payment by debit card_', 'Payment by credit card_']"
76,1981736914,-1137970082,Customer Retention Process,['CSR Support']
77,3125497293,2254713042,Nutritional goals,"['Ideal Meal Chart ', 'BMR Male', 'Register Student', 'BMR ', 'BMR Female Cal', 'BMR Female', 'BMR Male Cal', 'Login ', 'BMI Cal', 'Welcome user', 'User details', 'BMI']"
78,-2086293921,5436486734,Connecting Mentors,"['Search Your Mentor', 'Student Admission Card', 'Generate ID Card', 'Look for your Mentor', 'Please select your preferred subject', 'Student Directory', 'Welcome page ', 'Go on with the execution', 'Find your Mentor ', 'Update Mentor List', 'Send Email Reserved CU', 'Add to your Mentor list', 'Information of Enrolled Students', 'Student Login Details']"
79,-644060957,-1023886071,Policy_Reinstatement,"['Sending email about lapsed policy', 'NSL_emailReservedCu', 'Reinstatement_DB']"
80,2710919388,6069541885,tripplanner_flight,['Flight_travel']
81,4617660863,1638882353756,AUDIT WEBEX MEETING,"['create reserved cu', 'MailtoAD01', 'ID 3', 'HTML_1', 'Dummyno', 'Send Email Reserved CU', 'Webex ADO', 'Choose type of Audit head', 'Auditee SPOC', 'NSL HTML Template', 'Auditee head option', 'Capture Minute 03', 'HTML Trigger 2', 'Webex AD', 'Audit director', 'search reserved cu', 'Webex AS', 'Loading webex Reserved CU']"
82,-644060957,-1111755956,customerreinstatement,"['NSL_smsReservedCu', 'Payment by debit card_', 'NSL_emailReservedCu', 'Payment by credit card_']"
83,1981736914,23699385,Customer Retention Process,['CSR Support']
84,677977564,824820769,logic GSI for share application,"['Fetch share application details', 'Calculate Share application Details']"
85,4970787530,3547738946,NSlhub Invite,"['Babyshowercards', 'Weddingcards', 'templatepricedisplayv2', 'Regularbirthdaycard', 'Premiumweddingcard', 'seasonsgreetingspdf', 'onlinepayment1105', 'testpdf0406', 'WC1', 'TC3', 'Addimagethankyoucard', 'N2', 'regularsgcard', 'TC1', 'Addimagepdf', 'Regularthankyoucard', 'Birthdaycards', 'Regularweddingcard', 'TestURL', 'SG1', 'Seasonsgreetingcards', 'Selectcardtype', 'regularthankyou', 'CG1', 'CG2', 'Premiumthankyoucard', 'N5', 'Get instamojo payment details Reserved CU', 'SG3', 'premiumcgpdf', 'Addimagebirthdaycard', 'AddimageSGcard', 'premiumcgcard', 'thankyoupremiumcard', 'N4', 'Addimageweddingcard', 'Regularpdf', 'Addimagecgcard', 'Basic0406', 'BD3', 'CG3', 'TC2', 'Regularcgcard', 'regularweddingpdf', 'N1', 'imagebirthdatcard', 'BD1', 'Show_details', 'WC3', 'premiumweddingcard', 'WC2', 'Premiumbirthdaycards', 'Send Email Reserved CU', 'SG2', 'birthday_regular_card', 'BD2', 'Regularcongratulationscard', 'Thankyoucards', 'N6', 'Premiumbirthdaycard', 'thankyouimagecard', 'Congratulationscards', 'emailtemplateinvite', 'Enter Login Credentials', 'N3']"
86,-235533008,5393765330,Approve Investments Valuation,"['Approve Investment Valuation', 'End solution', 'Search Valuation Transaction Id', 'Check Diminution type', 'Trigger Accounting Entry']"
87,-2086293921,5931199538,Guess the Logo,"['search brand answer', 'Searchbrandanswer', 'Score Calculation for Intermediate level', 'search5v1', 'brandsearch7', 'Quiz Mode', 'Intermediate Level', 'searchs', 'displaybeginnerresult', 'band searchmatch3', 'Intermediate Quiz', 'Score calculation', 'Welcome to Quiz ', 'Search brandanswer', 'SearchBrandAnswer', 'Beginner level', 'Register Student', 'searchbrandasnwer', 'Display My Score', 'DisplayScore', 'brand searchmatch6', 'Login ', 'calculate my score', 'brand search match2']"
88,4872940652,6172562065,Assign Audit Checklist,"['Enter Audit ID', 'SearchUnassignedChecklist', 'DisplayChecklists', 'SearchAuditPlanDetails']"
89,1183218792,-1550504617,Automated email generation FE504,"['Show payment url v1', 'Provide Your Details', 'Get instamojo payment details Reserved CU']"
90,4928333187,1309438553426,Habit Tracker,"['HT1', 'Habit Profile_DB_v2', 'After Log in Home Page_HT', 'HT2', 'HomePage_HT']"
91,1374883019097,280880600660,Dog Walking,"['Search Walker', 'View Walker', 'Home Page Dog Walking', 'Customer Check Out', 'Enter Details', 'Get instamojo payment details Reserved CU', 'show 2994', 'Customer Check Out View', 'URL 2994']"
92,2613281383,2830365659,Update DB BP Tracker,"['update db BP tracker', 'search db BP tracker']"
93,1981736914,-2022894095,customer_rewrite,"['Sms Confirmation After Payment_2', 'NSL_emailReservedCu', 'Debit Card Payments_2', 'CCE receives request from customer_2', 'NSL_smsReservedCu', 'Rewrite Intiation_2', 'Send whatsapp message Reserved CU', 'CCE Sends Payment Detail To Customer_2', 'Customer Makes Payment_2']"
94,2636028083,332731635763,Minutes Of the Meeting,"['Send Email Reserved CU', 'MOM3', 'View recorded MOM', 'Do you want to mail the MOM', 'MOM2', 'Home Page Minutes Of the Meeting', 'MOM1', 'Review your Mail', 'Minutes Of the Meeting', 'Search MOM']"
95,-2086293921,5115651856,FIRST AID MANAGEMENT,"['Show Near Ambulance ', 'Search First aid', 'Learn About First Aid', 'What is the condition of patient', 'Proceed to Solution', 'Medical Dictionary', 'Show First aid ', 'Helping Hands', 'Exit from Solution', 'Choose Action', 'Take Step', 'Login ', 'Search Ambulance', 'Generate HTML', 'Access My Dictionary']"
96,570940159782,307258458100,excelreportextract_3009,"['entityselection3009', 'NSL Excel Report', 'viewentity3009']"
97,-57925665,-2127292006,Logic GSI for appointment 3,"['DisplayStatus', 'supportingunit', 'NSL String Functions', 'SearchBookings']"
98,3185258540,5515963770,Reinstatement Solution,"['Payment URL 0305', 'Final Transaction Summary', 'Insuree PDF Details', 'Get instamojo payment details Reserved CU', 'RCU for Insuree details', 'Reinstatement policy details', 'Search for an Insuree', 'Display Reinstatement PDF', 'Transaction for reinstatement']"
99,-644060957,-293925513,customerchoosesmenu,['Customer Menu Options']
100,-644060957,1528844140,Pay Your Premium,"['Customer Pays Premium', 'NSL_smsReservedCu']"
101,4734395989,2292418375,Diabetes Tracker,"['View Medical History', 'Welcome to Diabetes Tracker', 'Blood Sugar Medical History', 'View Blood Glucose History', 'Blood Glucose', 'Search Blood Glucose', 'Search Medical History', 'DT1', 'Thank You']"
102,3860785691,3759447473,First Aid Database,['First Aid Data']
103,1981736914,-2137918453,Main HTML Gsi,"['basic template html generation', 'BasichtmlCU', 'NSL_emailReservedCu']"
104,570940159782,2133610729404,maingsi_onfocus_0710,['onfocus_cu5_0710']
105,1869112909622,246101519525,Payment gateway 922,"['payment summary 922', 'select payment 922', 'cash payment 922', 'card payment 922']"
106,-644060957,776316800,My Services,"['Auto Pay Registration', 'Customer Pays Premium']"
107,4617660863,2908029675,Audit Plan Approval by Audit Director,"['Inputs for Director Dashboard', 'Inputsforaggmach', 'Select ID for Approval', 'generate mail to auditor', 'Pushnotification Backend 5', 'HTML backend 14', 'Search auditor info', 'Search Backend Pending plans', 'Generate rejection mail to auditor', 'SMS Backend 10', 'R2', 'View Directors Dashboard', 'Send Push Notification Reserved CU', 'HTML Backend 18', 'Verify Database Credentials', 'Generate Not Approved Count', 'Search Org Database', 'default pass 3', 'Pushnotification backend 33', 'Audit Director login', 'Send sms Reserved CU', 'Calculate Parameters backend', 'SMS Backend 11', 'Update Plan status to approved', 'HTML percentage backend 1', 'SDA1', 'Generate Approved Count', 'Extract auditor info', 'Default value pass', 'Extract Percentage', 'Store data for Aggregation', 'Extract auditee head contact', 'HTML Backend 16', 'Pushnotification Backend 4', 'default pass 2', 'Generate Directors Dashboard', 'SDA2', 'Choose Further Action', 'Send Email Reserved CU', 'R1', 'Take action on the plan', 'Generate approved status mail to AH', 'Generate SFA Count', 'Search Specific Audit Plan', 'SMS backend 12']"
108,5016701164,2774544270,Search User Notes Tech News,"['Search User Notes', 'View User Notes']"
109,2908930494,5949409602,Pyra_Reward,"['PyraPdfYes', 'DiaryThankyou', 'URL 2104', 'PyraNoTemplate', 'SearchSuggestions', 'Get instamojo payment details Reserved CU', 'ViewResponse', 'PyraTemplateTemplate', 'Show 2104', 'PyraLogin', 'Send Email Reserved CU', 'EmailTemplate', 'RewardSuggestionSearch', 'MachineYes', 'ViewSuggestions', 'SearchResponse', 'PyraPdfLink', 'MachineNo', 'PyraInstamojo']"
110,3182492403,1360572776017,Covid Relief App,"['CV1', 'Create User Profile', 'Covid Relief Home Page', 'Information Related to Vaccination', 'View User Profile', 'Send Email Reserved CU', 'Send Volunteer Registration Mail']"
111,-2086293921,4649558584,Brand Zoo,"['brandsearch5', 'Intermediate Level', 'Quiz Mode', 'brandsearch7', 'displaybeginnerresult', 'Calculate Score', 'Show my score', 'Welcome to Quiz ', 'Beginner level', 'Register Student', 'calculate my score', 'brand searchmatch6', 'Login ', 'brand search match2', 'Confirm Password', 'band searchmatch3']"
112,-2086293921,2196430717,Librarymanagement,"['SendBookRequestNotification', 'Send Email Reserved CU', 'ViewDetailsOfBook', 'SearchForaBook', 'TypeSelection', 'SelectionType', 'RaiseBorrowRequest', 'Add Books', 'Book Search', 'UpdatingBorrowRequest', 'SendStatusNotificationtoStudent', 'UpdateStatusofBorrowRequest', 'RaisingBookRequest', 'AddStudent', 'Student Login']"
113,-1560122000,1206506456,HI_PolicySurrender,"['CSRsupport', 'customerLogin', 'selfSurrender']"
114,4872940652,3768701391,Enter Property Ownership Details,"['Enter Owner Details', 'Update Property Address', 'ACUsupportone', 'Create Owner Master Data  ', 'ACUsupporttwo', 'Enter Corporation Details ', 'Property ID Creation', 'Owner ID and Property ID', 'Select Business Type', 'Assign Corporation ID', 'Create Owner ID']"
115,1981736914,-2139013216,Customer Policy Amendments,"['Customer Existing Records', 'Updated Customer Data', 'Amend Customer Data']"
116,4836697387,4646077337,logic_onchange1_ak,"['logic_onchange_cu2_ak', 'logic_onchange_cu1_ak']"
117,4872940652,5407799099,Update Assigned Checklist Status,"['create reserved cu', 'ConsolidationMCUChecklist', 'Update Another Checklist', 'UpdateMCUChecklist', 'Select Checklist to Update', 'MCUEmailtoAuditManager', 'update checklist assign', 'Search Assigned Checklist', 'Send Email Reserved CU', 'SearchChecklistMCU', 'Enter Checklist Info', 'Display My checklists']"
118,3860785691,2897926771,Ambulance Database,['Ambulance Database']
119,-664438305,-1784540730,NBS022_1,"['Qty Cal', 'Tol Amt Cal', 'In total tax', 'In total amt', 'Raise_PR', 'In Qty Cal']"
120,1860005524710,591408572068,Certificate of Deposit Calculator,"['Mac CD CU1', 'Mac CD CU2', 'Mac CD CU3', 'Mac CD CU4', 'View Certificate Of Deposit', 'Certificate Of Deposit CU', 'NSL Decimal Number Functions']"
121,4836697387,5606537585,Alt_rec_create_search_email_practice_ak,"['Buyer page01_practice_ak', 'View Seller products_practice_ak', 'View Buyer products_practice_ak', 'Seller page_practice_ak', 'buyer_seller_practice_ak']"
122,1981736914,-1288023559,Customer Insurance Policy Cancellation,"['Login Page', 'Cancellation Mode', 'request Confirmation', 'Self Submit', 'Customer User Details', 'CCE Assistance']"
123,1981736914,-641625059,Health Insurance Policy Rewrite,"['Rewrite Intiation_2', 'NSL_smsReservedCu', 'Send whatsapp message Reserved CU', 'CCE receives request from customer_2', 'Customer Makes Payment_2', 'CCE Sends Payment Detail To Customer_2', 'NSL_emailReservedCu', 'Sms Confirmation After Payment_2', 'Debit Card Payments_2']"
124,1860005524710,739707680167,Area Of Trapezium Plot GSI,"['Area Of Trapezium Plot CU', 'Mac AreaTrape CU', 'View Area Of Trapezium CU']"
125,-1731124370,6306334134,Customer Portal T_Dashboard,['T_Dashboard CU']
126,4617660863,2829819486,Public Procurement procedure,"['ID Generator 900 01', 'Connector HTML CU 01', 'Database of PPP IC', 'search audit plan 900 0706', 'HTML PPP IC 01', 'Issue And CAPA for Public Procurement Procedure', 'HTML PPP IC 02', 'Send Email Reserved CU', 'search spoc details']"
127,4836697387,1923386665496,PIN_practice_ak,['PIN_CU_practice_ak']
128,1842049207677,5982510119,Volunteer Tracker,"['VT2', 'User Login Search_VT', 'View activity_VT', 'VT1', 'Volunteer activity DB', 'User login View_VT', 'search activity_VT', 'Homepage_VT']"
129,2768568903,4971781257,q 2,['q 2']
130,1704923815,784856698,Insurance KPI Nested Measure GSI,['Nested Supporter']
131,1704923815,1593739939,NSL Health Insurance Premium Calculator ,['Best Online Way To Know Your Premium']
